,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
2542,600568,中珠医疗,2.83,3.28,1,17,16,0.0,34.76,25.22
1932,300586,美联新材,14.85,0.47,2,-4,17,0.47,0.54,25.21
1480,300122,智飞生物,45.99,0.02,7,7,18,8.42,8.42,25.18
215,000662,天夏智慧,6.81,4.13,2,2,17,4.13,4.13,25.18
340,000837,秦川机床,5.22,-0.38,3,8,15,2.15,19.45,25.18
1010,002565,顺灏股份,11.44,10.0,4,3,4,25.16,21.06,25.16
3508,603993,洛阳钼业,4.88,1.04,3,2,18,1.88,1.04,25.13
2505,600522,中天科技,10.36,2.78,3,2,17,3.91,2.78,25.12
948,002501,利源精制,3.39,3.04,8,17,15,16.9,30.38,25.09
1123,002683,宏大爆破,10.72,2.58,2,2,17,2.58,2.58,25.09
2617,600652,游久游戏,4.34,5.34,2,16,12,5.34,32.72,25.07
2562,600589,广东榕泰,5.24,10.08,4,17,16,10.55,26.57,25.06
3246,603359,东珠生态,19.32,3.04,8,8,15,17.45,17.45,25.05
501,002046,轴研科技,8.29,9.95,2,2,17,9.95,9.95,25.04
1646,300291,华录百纳,5.85,5.98,2,2,18,5.98,5.98,25.0
1073,002631,德尔未来,8.15,4.09,3,2,17,5.3,4.09,25.0
605,002152,广电运通,7.00,6.22,1,8,17,0.0,14.38,25.0
1768,300415,伊之密,7.50,0.13,4,18,17,5.19,28.64,25.0
2888,600999,招商证券,18.01,-0.28,-1,1,19,0.0,0.0,24.98
1517,300159,新研股份,6.11,4.09,2,2,17,4.09,4.09,24.95
1237,002807,江阴银行,6.61,-0.45,8,8,18,15.16,15.16,24.95
1870,300518,盛讯达,25.49,5.03,4,2,15,5.07,5.03,24.95
3067,601997,贵阳银行,13.63,0.07,8,8,24,13.87,13.87,24.93
2566,600594,益佰制药,6.57,5.97,8,17,14,16.7,29.84,24.9
2603,600637,东方明珠,12.55,4.93,3,3,18,7.82,7.82,24.88
1735,300382,斯莱克,6.98,2.65,9,17,15,22.67,26.91,24.87
1425,300065,海兰信,14.72,4.69,2,2,18,4.69,4.69,24.85
1459,300100,双林股份,11.26,6.13,1,2,16,0.0,6.13,24.83
3316,603595,东尼电子,42.30,0.71,4,2,18,2.15,0.71,24.82
1860,300508,维宏股份,27.52,6.21,4,8,15,6.25,12.56,24.81
2676,600718,东软集团,13.43,6.59,2,2,15,6.59,6.59,24.81
546,002093,国脉科技,9.26,9.98,2,2,17,9.98,9.98,24.8
2465,600476,湘邮科技,15.30,2.68,3,2,15,4.79,2.68,24.8
955,002509,天广中茂,3.02,1.34,8,17,15,15.27,27.43,24.79
