,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
3361,603881,数据港,35.75,2.14,3,3,20,0.56,0.56,32.55
466,002021,中捷资源,3.71,1.64,3,3,17,11.75,11.75,32.5
1766,300455,康拓红外,8.40,9.95,6,10,19,16.67,19.83,32.49
684,002247,聚力文化,5.47,0.92,4,4,16,14.44,14.44,32.45
2801,600985,淮北矿业,12.41,0.81,4,10,23,1.47,8.86,32.44
1566,300244,迪安诊断,20.33,-2.26,6,20,19,11.09,35.99,32.44
1364,300034,钢研高纳,12.82,-1.69,4,4,20,9.76,9.76,32.44
428,000980,众泰汽车,5.72,-1.72,4,20,19,9.79,35.87,32.41
1827,300518,盛讯达,27.00,4.09,6,4,17,11.29,11.25,32.35
762,002329,皇氏集团,4.42,0.91,4,3,18,8.07,5.24,32.34
995,002573,清新环境,9.33,-0.43,-1,19,18,0.0,35.22,32.34
3189,603496,恒为科技,32.58,3.46,6,4,19,17.49,12.31,32.33
1397,300069,金利华电,13.88,-0.5,-2,10,20,-0.5,13.12,32.32
2101,600082,海泰发展,5.24,0.77,4,4,18,7.16,7.16,32.32
26,000034,神州数码,15.03,0.2,5,4,18,12.08,9.23,32.31
360,000889,中嘉博创,13.40,-2.76,10,10,18,28.85,28.85,32.28
1067,002648,卫星石化,13.82,0.07,-1,6,21,0.0,1.62,32.25
575,002137,麦达数字,8.16,0.74,5,4,16,17.75,15.74,32.25
2186,600186,莲花健康,2.42,4.76,3,3,17,11.01,11.01,32.24
1609,300290,荣科科技,8.99,0.45,10,10,18,22.31,22.31,32.21
210,000662,天夏智慧,7.19,3.45,4,4,19,9.94,9.94,32.17
1837,300530,达志科技,40.06,2.35,19,19,18,32.65,32.65,32.17
724,002289,宇顺电子,8.18,9.95,6,5,17,14.73,12.98,32.15
3004,603023,威帝股份,6.33,0.48,6,20,19,14.47,35.26,32.15
999,002577,雷柏科技,13.36,3.25,4,4,18,4.78,4.78,32.15
1111,002693,双成药业,5.14,3.63,10,19,19,23.56,32.13,32.13
2561,600663,陆家嘴,17.85,-1.27,-1,4,19,0.0,11.21,32.12
3416,603998,方盛制药,6.46,1.1,6,9,19,6.95,13.13,32.11
1771,300461,田中精机,24.99,-0.24,4,3,17,6.34,2.46,32.08
2797,600981,汇鸿集团,5.23,7.17,3,3,19,9.41,9.41,32.07
3413,603993,洛阳钼业,5.15,1.58,5,4,20,7.52,6.63,32.05
1388,300058,蓝色光标,5.40,0.37,4,4,19,10.88,10.88,32.03
2171,600166,福田汽车,2.35,5.38,14,20,19,27.03,34.29,32.02
2436,600515,海航基础,6.24,-0.95,4,4,18,8.9,8.9,31.92
1501,300177,中海达,14.22,0.49,-1,20,19,0.0,34.66,31.91
1497,300173,智慧松德,6.25,2.63,5,4,17,13.84,11.01,31.86
597,002160,常铝股份,4.47,2.52,4,4,18,3.47,3.47,31.86
1933,300637,扬帆新材,35.22,0.63,5,11,19,6.57,24.06,31.86
2960,601901,方正证券,8.36,3.21,5,4,19,8.85,8.15,31.86
358,000887,中鼎股份,13.04,2.44,3,10,19,6.97,16.12,31.85
1408,300081,恒信东方,11.94,10.05,6,6,19,18.57,18.57,31.79
2242,600249,两面针,5.10,9.91,5,4,18,17.24,14.61,31.78
1741,300430,诚益通,10.29,0.78,5,10,19,13.95,21.92,31.75
1738,300427,红相股份,14.19,-3.07,-1,-1,19,0.0,0.0,31.75
361,000890,法 尔 胜,6.60,-1.64,-1,4,16,0.0,4.93,31.74
726,002291,星期六,5.77,4.34,3,4,19,8.05,11.61,31.74
3417,603999,读者传媒,6.60,4.76,5,4,18,12.44,10.92,31.74
1902,300603,立昂技术,30.84,2.46,5,5,17,11.18,11.18,31.74
598,002161,远 望 谷,7.39,1.79,5,19,17,14.22,37.36,31.73
1634,300315,掌趣科技,4.36,3.81,4,18,16,11.79,34.57,31.72
2126,600111,北方稀土,11.80,3.6,4,3,19,8.16,6.02,31.7
1440,300114,中航电测,10.23,0.59,4,4,20,5.9,5.9,31.66
1212,002810,山东赫达,21.68,-1.09,-2,-1,30,-1.09,0.0,31.63
2584,600692,亚通股份,8.70,1.16,7,10,18,10.41,17.25,31.62
2421,600497,驰宏锌锗,5.71,2.88,4,20,19,4.77,34.35,31.57
1570,300248,新开普,9.21,-0.65,4,3,19,10.43,7.09,31.57
57,000099,中信海直,8.13,-1.81,-2,-1,20,-1.81,0.0,31.55
910,002485,希努尔,8.80,0.46,10,19,18,19.08,32.53,31.54
657,002220,天宝食品,3.42,4.27,4,19,18,11.76,36.25,31.54
3359,603879,永悦科技,12.72,6.44,6,6,19,19.66,19.66,31.54
1215,002813,路畅科技,30.92,10.0,3,19,17,13.97,35.44,31.52
986,002564,天沃科技,6.05,0.83,5,18,15,16.12,34.15,31.52
2201,600202,*ST哈空,4.80,5.03,10,19,18,23.71,34.08,31.51
749,002315,焦点科技,15.86,2.99,1,20,19,0.0,34.63,31.51
1462,300137,先河环保,10.77,0.0,-2,10,20,0.0,21.97,31.5
354,000882,华联股份,3.09,0.0,-1,18,17,0.0,33.77,31.49
3035,603079,圣达生物,21.38,-1.16,-1,10,19,0.0,21.62,31.49
271,000750,国海证券,6.39,3.4,5,4,20,9.04,8.86,31.48
1174,002766,索菱股份,6.81,0.89,4,4,17,13.5,13.5,31.47
1648,300332,天壕环境,4.93,2.28,4,4,17,13.86,13.86,31.47
1241,002842,翔鹭钨业,21.31,2.16,1,20,19,0.0,34.96,31.46
1653,300337,银邦股份,4.68,4.93,4,4,18,11.96,11.96,31.46
1416,300089,文化长城,6.98,-1.83,6,19,18,12.58,33.97,31.45
1425,300099,精准信息,5.77,3.04,4,4,19,8.05,8.05,31.44
3003,603022,新通联,9.49,9.97,3,20,18,13.93,34.23,31.44
615,002178,延华智能,4.81,2.78,4,4,18,9.07,9.07,31.42
2314,600338,西藏珠峰,25.19,0.32,5,14,20,2.69,23.06,31.4
54,000088,盐 田 港,6.74,0.9,6,4,20,4.17,3.69,31.38
107,000517,荣安地产,3.10,0.32,4,14,19,0.98,26.02,31.36
1484,300160,秀强股份,4.82,10.05,4,4,18,12.35,12.35,31.34
756,002322,理工环科,12.45,1.38,6,10,20,10.47,21.35,31.33
2994,603011,合锻智能,6.33,10.09,6,20,19,16.36,34.11,31.33
63,000156,华数传媒,11.20,0.0,-1,10,20,0.0,20.17,31.3
773,002340,格林美,5.38,0.94,4,4,19,11.39,11.39,31.22
396,000935,四川双马,19.55,10.02,5,10,19,11.97,17.91,31.21
2371,600415,小商品城,4.88,-1.21,-1,10,19,0.0,24.17,31.18
2334,600366,宁波韵升,6.90,1.92,5,14,19,13.49,24.1,31.18
2187,600187,国中水务,3.62,4.32,4,4,18,9.7,9.7,31.16
1297,002903,宇环数控,21.81,1.49,4,4,17,8.51,8.51,31.15
582,002145,中核钛白,4.55,6.31,4,3,19,11.52,10.71,31.12
1457,300131,英唐智控,6.03,-0.33,5,4,19,5.98,5.42,31.09
1358,300027,华谊兄弟,6.03,4.33,4,4,18,8.26,8.26,31.09
1372,300042,朗科科技,19.31,2.71,6,4,19,16.26,14.19,31.09
758,002325,洪涛股份,4.01,5.25,4,4,19,11.08,11.08,31.05
1366,300036,超图软件,19.33,6.5,6,10,19,13.84,19.91,31.05
2746,600876,洛阳玻璃,14.40,6.04,6,19,17,17.55,34.58,31.03
2207,600210,紫江企业,4.56,0.66,-1,4,18,0.0,8.57,31.03
3124,603300,华铁科技,6.00,-1.48,4,3,18,6.76,5.26,31.0
1819,300510,金冠股份,12.17,-1.85,3,3,18,4.46,4.46,31.0
3208,603555,贵人鸟,7.40,3.06,4,4,17,8.98,8.98,30.97
2991,603008,喜临门,12.14,3.32,4,4,19,18.67,18.67,30.96
